source_flow_id_encoded,source_flow_final,source_source_ip,source_destination_ip,source_network_bytes,source_network_transport,source_timestamp,source_event_duration,source_destination_port,source_source_port,label
44376,0,3201805056,3201768135,14350,1,1645795940002,1238779,13431.0,80.0,benign
10424,0,905919982,3201805059,356,1,1645796270003,388466020,22.0,55735.0,malicious
16823,0,2130759677,2130759677,863,1,1645793070013,421875,9099.0,52024.0,benign
42693,0,3201805056,3201805058,39848,1,1645794750091,396938798,3306.0,43230.0,benign
44368,0,3201768135,3201805056,224,1,1645794150001,137565,80.0,28789.0,benign
12642,0,905919982,3201763612,421,1,1645795920001,84866,8500.0,54304.0,benign
12586,0,905919982,3201763612,421,1,1645798060001,72366,8500.0,60694.0,benign
2256,0,3201805056,3201768133,547,2,1645794530095,310311,53.0,34157.0,benign
17009,1,2130759677,2130759677,863,1,1645796480009,278202,9099.0,60766.0,benign
10639,0,905919982,3201805059,68,1,1645796360094,0,22.0,29377.0,malicious
3118,1,3201805056,3201768133,547,2,1645797220002,244364,53.0,43033.0,benign
36455,1,4027662305,4027632616,68,1,1645796693657,0,31301.0,40323.0,malicious
44045,0,3201768135,3201805056,3832,1,1645795940002,5198186252,80.0,42279.0,benign
9578,0,905919982,3201805059,356,1,1645796570100,218184465,22.0,55696.0,malicious
9572,1,905919982,3201805059,136,1,1645796693657,1104099995,22.0,45712.0,malicious
37271,1,4027662305,4027632616,68,1,1645796500321,0,31301.0,41359.0,malicious
26075,1,4027662305,4027632616,68,1,1645796500321,0,31301.0,47833.0,malicious
25486,1,4027662305,4027632616,68,1,1645796500321,0,31301.0,59856.0,malicious
30479,1,4027662305,4027632616,68,1,1645796693657,0,31301.0,33829.0,malicious
25108,1,4027662305,4027632616,68,1,1645796693657,0,31301.0,33023.0,malicious
13094,0,905919982,3201763612,421,1,1645792780111,72160,8500.0,46210.0,benign
33021,1,4027662305,4027632616,68,1,1645796500321,0,31301.0,39247.0,malicious
43362,1,3201805056,3201805058,128236,1,1645798150096,1443485208,3306.0,56696.0,benign
18811,0,3201805063,3600376759,132,1,1645796090001,69046,4444.0,53520.0,malicious
23735,0,4027632609,4027632616,146,1,1645796270003,488341,31301.0,48406.0,malicious
38588,1,4027662305,4027632616,68,1,1645796500321,0,31301.0,38307.0,malicious
2222,0,3201805056,3201768133,574,2,1645798080002,250916,53.0,60235.0,benign
25356,1,4027662305,4027632616,136,1,1645796693657,1412366557,31301.0,60883.0,malicious
42292,0,3201805062,3201805060,1507,1,1645795860092,1291070,6379.0,56032.0,benign
47004,1,9223372036854775807,9223372036854775807,172,1,1645798150096,25579,9099.0,35742.0,benign
26409,0,4027662305,4027632616,68,1,1645796457240,0,31301.0,58590.0,malicious
26748,1,4027662305,4027632616,68,1,1645796500321,0,31301.0,46311.0,malicious
1737,0,2130759629,2130759677,93,2,1645795490095,0,54895.0,53.0,benign
11822,0,905919982,3201805059,356,1,1645796570100,38183762,22.0,43761.0,malicious
26459,1,4027662305,4027632616,68,1,1645796500321,0,31301.0,44515.0,malicious
34399,1,4027662305,4027632616,68,1,1645796500321,0,31301.0,55395.0,malicious
43151,0,3201805056,3201805058,34340,1,1645798110002,1510916013,3306.0,56650.0,benign
7216,0,905919982,3201805059,146,1,1645796289935,21123,22.0,63270.0,malicious
17748,0,2130759677,2130759677,863,1,1645794150025,213643,9099.0,54766.0,benign
45359,1,3201763587,3201763586,757,1,1645794290001,383318,6379.0,45320.0,benign
26919,1,4027662305,4027632616,136,1,1645796693657,1499308878,31301.0,60389.0,malicious
13704,1,905919982,3201763613,433,1,1645794890001,115676,8500.0,53250.0,benign
9399,0,905919982,3201805059,76,1,1645796270003,0,22.0,17033.0,malicious
6877,0,3201805059,905919982,216,1,1645796370003,941519,41239.0,22.0,benign
22092,0,4027632609,4027632616,356,1,1645796270003,509604514,31301.0,39082.0,malicious
26603,1,4027662305,4027632616,68,1,1645796500321,0,31301.0,46817.0,malicious
30987,1,4027662305,4027632616,68,1,1645796693657,0,31301.0,56108.0,malicious
45116,0,3201768135,3201763588,7592,1,1645798060001,6596257658,80.0,37225.0,benign
18710,1,3446397312,3201805060,1563,1,1645795390191,732536,33378.0,443.0,benign
8170,0,905919982,3201805059,356,1,1645796560002,19618339583,22.0,34385.0,malicious
7960,0,905919982,3201805059,146,1,1645796270003,69227,22.0,50759.0,malicious
3232,1,3201805057,3201768133,301,2,1645794100002,126724,53.0,42008.0,benign
6273,0,905919982,3201805082,421,1,1645797870002,443655,8500.0,34040.0,benign
3990,1,905919982,3600376759,138,1,1645797070001,17847,4444.0,25305.0,malicious
7956,0,905919982,3201805059,136,1,1645796360094,3544880,22.0,40775.0,malicious
12840,1,905919982,3201763612,433,1,1645793600002,124311,8500.0,48204.0,benign
21118,0,4027632616,4027632609,54808,1,1645796270003,236069,34426.0,31301.0,benign
29520,1,4027662305,4027632616,68,1,1645796500321,0,31301.0,54805.0,malicious
26726,1,4027662305,4027632616,68,1,1645796500321,0,31301.0,44775.0,malicious
34244,0,4027662305,4027632616,68,1,1645796457240,0,31301.0,57181.0,malicious
16131,0,3201805062,900794944,1638,1,1645795860092,374639,6379.0,59394.0,benign
21501,1,4027632609,4027632616,136,1,1645796693657,902082130,31301.0,40861.0,malicious
10947,0,905919982,3201805059,356,1,1645796270003,506002918,22.0,26845.0,malicious
28905,1,4027662305,4027632616,68,1,1645796500321,0,31301.0,44812.0,malicious
40162,1,4027662305,4027632616,68,1,1645796500321,0,31301.0,44475.0,malicious
9901,0,905919982,3201805059,356,1,1645796570100,269421,22.0,57518.0,malicious
37391,1,4027662305,4027632616,68,1,1645796500321,0,31301.0,42125.0,malicious
10694,0,905919982,3201805059,1686,1,1645796289935,3500004348,22.0,4036.0,malicious
1997,1,3201805062,3201768134,542,2,1645796693657,93977,53.0,51736.0,benign
2946,0,3201805056,3201768134,547,2,1645792260004,111152,53.0,45772.0,benign
23177,1,4027632609,4027632616,136,1,1645796693657,85992152,31301.0,33038.0,malicious
28381,1,4027662305,4027632616,68,1,1645796500321,0,31301.0,44292.0,malicious
29853,1,4027662305,4027632616,68,1,1645796693657,0,31301.0,37151.0,malicious
6056,0,905919982,3201805082,421,1,1645794300293,121947,8500.0,48048.0,benign
2935,0,3201805056,3201768134,547,2,1645796010002,196558,53.0,47304.0,benign
38756,1,4027662305,4027632616,68,1,1645796500321,0,31301.0,51105.0,malicious
10398,0,905919982,3201805059,146,1,1645796289935,90856,22.0,10934.0,malicious
28095,1,4027662305,4027632616,68,1,1645796500321,0,31301.0,51203.0,malicious
16561,0,2130759677,2130759677,864,1,1645796860000,670860,9099.0,33816.0,benign
11651,0,905919982,3201805059,356,1,1645796360094,292186653,22.0,64746.0,malicious
40692,1,4027662305,4027632616,68,1,1645796500321,0,31301.0,42179.0,malicious
3144,1,3201805056,3201768133,547,2,1645792240092,176709,53.0,58150.0,benign
22151,0,4027632609,4027632616,220,1,1645796270003,104369793,31301.0,59308.0,malicious
183,0,3201805063,901724183,547,2,1645796180091,144134,53.0,49545.0,benign
47168,0,9223372036854775807,9223372036854775807,172,1,1645797630012,32796,9099.0,50354.0,benign
11749,1,905919982,3201805059,136,1,1645796693657,804923619,22.0,31998.0,malicious
25978,0,4027662305,4027632616,68,1,1645796457240,0,31301.0,57051.0,malicious
36077,1,4027662305,4027632616,68,1,1645796500321,0,31301.0,45177.0,malicious
10037,0,905919982,3201805059,356,1,1645796270003,181539687,22.0,48294.0,malicious
10281,0,905919982,3201805059,146,1,1645796360094,55193,22.0,31920.0,malicious
19498,0,4027632609,4027632616,356,1,1645796270003,392778414,31301.0,42226.0,malicious
10195,1,905919982,3201805059,136,1,1645796693657,599680264,22.0,37292.0,malicious
39228,1,4027662305,4027632616,68,1,1645796500321,0,31301.0,38057.0,malicious
29208,1,4027662305,4027632616,68,1,1645796693657,0,31301.0,39697.0,malicious
39671,1,4027662305,4027632616,68,1,1645796500321,0,31301.0,47027.0,malicious
26893,1,4027662305,4027632616,68,1,1645796693657,0,31301.0,57317.0,malicious
31280,1,4027662305,4027632616,68,1,1645796500321,0,31301.0,37681.0,malicious
13806,0,905919982,3201763613,421,1,1645797280007,124998,8500.0,59930.0,benign
35598,1,4027662305,4027632616,136,1,1645796693657,1501826207,31301.0,60529.0,malicious
2374,0,3201805056,3201768133,547,2,1645795440002,103720,53.0,54930.0,benign
21860,0,4027632609,4027632616,146,1,1645796270003,106365,31301.0,40878.0,malicious
34393,1,4027662305,4027632616,68,1,1645796500321,0,31301.0,53859.0,malicious
12066,0,905919982,3201805059,434,1,1645796270003,1797357137,22.0,23804.0,malicious
13894,0,905919982,3201763613,421,1,1645792350007,130882,8500.0,46910.0,benign
7113,0,905919982,3201805059,146,1,1645796350003,100451783,22.0,38946.0,malicious
7359,1,905919982,3201805059,136,1,1645796693657,902175066,22.0,45375.0,malicious
3538,0,905919982,87510532,9854,1,1645795490095,898067451,443.0,45524.0,benign
29378,1,4027662305,4027632616,68,1,1645796500321,0,31301.0,46871.0,malicious
31775,0,4027662305,4027632616,68,1,1645796570100,0,31301.0,45368.0,malicious
22681,0,4027632609,4027632616,356,1,1645796270003,201416105,31301.0,42438.0,malicious
30741,1,4027662305,4027632616,68,1,1645796693657,0,31301.0,34089.0,malicious
35521,1,4027662305,4027632616,68,1,1645796500321,0,31301.0,44401.0,malicious
11667,0,905919982,3201805059,356,1,1645796570100,290630722,22.0,35051.0,malicious
